Diretorio,Estacao,Ano,Mes,Arquivo.zip,Arquivo_extraido,Tamanho_Bytes,Status,Msg_Erro,Processado
plv,Alto_da_boa_vista,2003,1,dados_pluviometricos_2003.zip,alto_da_boa_vista_200301_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,1,dados_meteorologicos_2003.zip,alto_da_boa_vista_200301_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,2,dados_pluviometricos_2003.zip,alto_da_boa_vista_200302_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,2,dados_meteorologicos_2003.zip,alto_da_boa_vista_200302_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,3,dados_pluviometricos_2003.zip,alto_da_boa_vista_200303_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,3,dados_meteorologicos_2003.zip,alto_da_boa_vista_200303_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,4,dados_pluviometricos_2003.zip,alto_da_boa_vista_200304_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,4,dados_meteorologicos_2003.zip,alto_da_boa_vista_200304_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,5,dados_pluviometricos_2003.zip,alto_da_boa_vista_200305_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,5,dados_meteorologicos_2003.zip,alto_da_boa_vista_200305_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,6,dados_pluviometricos_2003.zip,alto_da_boa_vista_200306_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,6,dados_meteorologicos_2003.zip,alto_da_boa_vista_200306_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,7,dados_pluviometricos_2003.zip,alto_da_boa_vista_200307_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,7,dados_meteorologicos_2003.zip,alto_da_boa_vista_200307_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,8,dados_pluviometricos_2003.zip,alto_da_boa_vista_200308_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,8,dados_meteorologicos_2003.zip,alto_da_boa_vista_200308_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,9,dados_pluviometricos_2003.zip,alto_da_boa_vista_200309_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,9,dados_meteorologicos_2003.zip,alto_da_boa_vista_200309_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,10,dados_pluviometricos_2003.zip,alto_da_boa_vista_200310_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,10,dados_meteorologicos_2003.zip,alto_da_boa_vista_200310_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,11,dados_pluviometricos_2003.zip,alto_da_boa_vista_200311_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,11,dados_meteorologicos_2003.zip,alto_da_boa_vista_200311_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2003,12,dados_pluviometricos_2003.zip,alto_da_boa_vista_200312_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2003,12,dados_meteorologicos_2003.zip,alto_da_boa_vista_200312_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,1,dados_pluviometricos_2004.zip,alto_da_boa_vista_200401_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,1,dados_meteorologicos_2004.zip,alto_da_boa_vista_200401_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,2,dados_pluviometricos_2004.zip,alto_da_boa_vista_200402_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,2,dados_meteorologicos_2004.zip,alto_da_boa_vista_200402_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,3,dados_pluviometricos_2004.zip,alto_da_boa_vista_200403_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,3,dados_meteorologicos_2004.zip,alto_da_boa_vista_200403_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,4,dados_pluviometricos_2004.zip,alto_da_boa_vista_200404_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,4,dados_meteorologicos_2004.zip,alto_da_boa_vista_200404_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,5,dados_pluviometricos_2004.zip,alto_da_boa_vista_200405_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,5,dados_meteorologicos_2004.zip,alto_da_boa_vista_200405_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,6,dados_pluviometricos_2004.zip,alto_da_boa_vista_200406_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,6,dados_meteorologicos_2004.zip,alto_da_boa_vista_200406_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,7,dados_pluviometricos_2004.zip,alto_da_boa_vista_200407_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,7,dados_meteorologicos_2004.zip,alto_da_boa_vista_200407_Met.txt,299,SUCESSO,,
